Z score	P-value
-9.00	0.00000000000000000011
-8.99	0.00000000000000000012
-8.98	0.00000000000000000014
-8.97	0.00000000000000000015
-8.96	0.00000000000000000016
-8.95	0.00000000000000000018
-8.94	0.00000000000000000019
-8.93	0.00000000000000000021
-8.92	0.00000000000000000023
-8.91	0.00000000000000000026
-8.90	0.00000000000000000028
-8.89	0.00000000000000000031
-8.88	0.00000000000000000033
-8.87	0.00000000000000000037
-8.86	0.00000000000000000040
-8.85	0.00000000000000000044
-8.84	0.00000000000000000048
-8.83	0.00000000000000000052
-8.82	0.00000000000000000057
-8.81	0.00000000000000000063
-8.80	0.00000000000000000068
-8.79	0.00000000000000000075
-8.78	0.00000000000000000082
-8.77	0.00000000000000000089
-8.76	0.00000000000000000098
-8.75	0.00000000000000000107
-8.74	0.00000000000000000117
-8.73	0.00000000000000000127
-8.72	0.00000000000000000139
-8.71	0.00000000000000000152
-8.70	0.00000000000000000166
-8.69	0.00000000000000000181
-8.68	0.00000000000000000198
-8.67	0.00000000000000000216
-8.66	0.00000000000000000236
-8.65	0.00000000000000000257
-8.64	0.00000000000000000281
-8.63	0.00000000000000000307
-8.62	0.00000000000000000335
-8.61	0.00000000000000000365
-8.60	0.00000000000000000399
-8.59	0.00000000000000000435
-8.58	0.00000000000000000474
-8.57	0.00000000000000000517
-8.56	0.00000000000000000564
-8.55	0.00000000000000000615
-8.54	0.00000000000000000671
-8.53	0.00000000000000000732
-8.52	0.00000000000000000798
-8.51	0.00000000000000000870
-8.50	0.00000000000000000948
-8.49	0.00000000000000001033
-8.48	0.00000000000000001126
-8.47	0.00000000000000001227
-8.46	0.00000000000000001337
-8.45	0.00000000000000001457
-8.44	0.00000000000000001587
-8.43	0.00000000000000001728
-8.42	0.00000000000000001882
-8.41	0.00000000000000002050
-8.40	0.00000000000000002232
-8.39	0.00000000000000002431
-8.38	0.00000000000000002646
-8.37	0.00000000000000002881
-8.36	0.00000000000000003136
-8.35	0.00000000000000003413
